district,school_type,query
종로구,중학교,서울 종로구 중학교 목록 위치 동별
종로구,고등학교,서울 종로구 고등학교 목록 위치 동별
중구,중학교,서울 중구 중학교 목록 위치 동별
중구,고등학교,서울 중구 고등학교 목록 위치 동별
용산구,중학교,서울 용산구 중학교 목록 위치 동별
용산구,고등학교,서울 용산구 고등학교 목록 위치 동별
성동구,중학교,서울 성동구 중학교 목록 위치 동별
성동구,고등학교,서울 성동구 고등학교 목록 위치 동별
광진구,중학교,서울 광진구 중학교 목록 위치 동별
광진구,고등학교,서울 광진구 고등학교 목록 위치 동별
동대문구,중학교,서울 동대문구 중학교 목록 위치 동별
동대문구,고등학교,서울 동대문구 고등학교 목록 위치 동별
중랑구,중학교,서울 중랑구 중학교 목록 위치 동별
중랑구,고등학교,서울 중랑구 고등학교 목록 위치 동별
성북구,중학교,서울 성북구 중학교 목록 위치 동별
성북구,고등학교,서울 성북구 고등학교 목록 위치 동별
강북구,중학교,서울 강북구 중학교 목록 위치 동별
강북구,고등학교,서울 강북구 고등학교 목록 위치 동별
도봉구,중학교,서울 도봉구 중학교 목록 위치 동별
도봉구,고등학교,서울 도봉구 고등학교 목록 위치 동별
노원구,중학교,서울 노원구 중학교 목록 위치 동별
노원구,고등학교,서울 노원구 고등학교 목록 위치 동별
은평구,중학교,서울 은평구 중학교 목록 위치 동별
은평구,고등학교,서울 은평구 고등학교 목록 위치 동별
서대문구,중학교,서울 서대문구 중학교 목록 위치 동별
서대문구,고등학교,서울 서대문구 고등학교 목록 위치 동별
마포구,중학교,서울 마포구 중학교 목록 위치 동별
마포구,고등학교,서울 마포구 고등학교 목록 위치 동별
양천구,중학교,서울 양천구 중학교 목록 위치 동별
양천구,고등학교,서울 양천구 고등학교 목록 위치 동별
강서구,중학교,서울 강서구 중학교 목록 위치 동별
강서구,고등학교,서울 강서구 고등학교 목록 위치 동별
구로구,중학교,서울 구로구 중학교 목록 위치 동별
구로구,고등학교,서울 구로구 고등학교 목록 위치 동별
금천구,중학교,서울 금천구 중학교 목록 위치 동별
금천구,고등학교,서울 금천구 고등학교 목록 위치 동별
영등포구,중학교,서울 영등포구 중학교 목록 위치 동별
영등포구,고등학교,서울 영등포구 고등학교 목록 위치 동별
동작구,중학교,서울 동작구 중학교 목록 위치 동별
동작구,고등학교,서울 동작구 고등학교 목록 위치 동별
관악구,중학교,서울 관악구 중학교 목록 위치 동별
관악구,고등학교,서울 관악구 고등학교 목록 위치 동별
서초구,중학교,서울 서초구 중학교 목록 위치 동별
서초구,고등학교,서울 서초구 고등학교 목록 위치 동별
강남구,중학교,서울 강남구 중학교 목록 위치 동별
강남구,고등학교,서울 강남구 고등학교 목록 위치 동별
송파구,중학교,서울 송파구 중학교 목록 위치 동별
송파구,고등학교,서울 송파구 고등학교 목록 위치 동별
강동구,중학교,서울 강동구 중학교 목록 위치 동별
강동구,고등학교,서울 강동구 고등학교 목록 위치 동별
